Header,2018,2019
Nombre total d'entreprises,44,48
Chiffre d'affaires hors taxes (en millions d'euros),1376.55,S
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,S,1012.9
Valeur ajoutée hors taxes (en millions d'euros),972.482,S
Excédent Brut d'Exploitation (en millions d'euros),808.882,S
Frais de personnel (en millions d'euros),143.257,S
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,1361.527,S
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,S
     dont Opérateurs en ligne,N,S
     dont Autres entreprises,N,S
Administrations,14.904,S
Particuliers,0.118,S
Clientèle nationale,297.433,S
Clientèle étrangère,1079.117,S
     dont Union européenne,610.512,S
     dont Hors Union européenne,468.605,S
Sous-traitance : études et prestations de services incorporées à la production,22.3,10.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",17.7,6.3
Reversements aux opérateurs de télécommunications,76.123,S
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",9.931,S
"Dépenses liées à la diffusion, Redevance payée aux chaînes pour leur diffusion par câble et satellite",2.154,S
Achats ou dépenses de crédit-bail (leasing) pour compte de tiers,0.117,S
SO,N,S
Total de toutes les dépenses professionnelles,88.325,S
SO= Sans objet ; NR = Non renseigné.,,
6130Z - Télécommunications par satellite,1308.096,S
