Header,2018,2019
Nombre total d'entreprises,133698,130729
Chiffre d'affaires hors taxes (en millions d'euros),53700.431,53631.386
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,107292.6,111204.9
Valeur ajoutée hors taxes (en millions d'euros),31167.093,31561.071
Excédent Brut d'Exploitation (en millions d'euros),19856.982,20328.288
Frais de personnel (en millions d'euros),6149.101,5979.534
Investissements corporels bruts hors apports (en millions d'euros),S,34011.38
Entreprises,17816.192,18054.239
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,1352.739,1484.547
Particuliers,34531.5,34092.601
Clientèle nationale,51186.438,51373.341
Clientèle étrangère,2513.993,2258.046
     dont Union européenne,1424.021,932.562
     dont Hors Union européenne,1089.972,1325.483
Sous-traitance : études et prestations de services incorporées à la production,1.2,2.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.8,0.9
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6820A - Location de logements,27291.823,27146.023
6820B - Location de terrains et d'autres biens immobiliers,20685.8,20308.501
