Header,2018,2019
Nombre total d'entreprises,4392,4635
Chiffre d'affaires hors taxes (en millions d'euros),10942.299,11150.29
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,27649.8,28782.2
Valeur ajoutée hors taxes (en millions d'euros),1732.194,1809.215
Excédent Brut d'Exploitation (en millions d'euros),172.213,185.501
Frais de personnel (en millions d'euros),1552.2,1579.77
Investissements corporels bruts hors apports (en millions d'euros),122.069,135.287
Entreprises,4197.714,4720.084
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,637.995,446.492
Particuliers,6106.591,5983.714
Clientèle nationale,9698.153,10051.647
Clientèle étrangère,1244.146,1098.642
     dont Union européenne,417.655,411.196
     dont Hors Union européenne,826.492,687.447
Sous-traitance : études et prestations de services incorporées à la production,6.4,3.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.6,0.5
"Achats ou reversements de   transports, hébergements, restauration, spectacles destinés à être incorporés dans la fabrication de voyages vendus ""clé en main"";",2194.627,2311.302
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",1365.15,972.668
Achats ou reversements de voyages organisés par d'autres entreprises,181.522,334.365
Commissions reversées à des confrères pour vente de voyages organisés,176.679,186.924
Achats de produits alimentaires (y compris boissons et plats cuisinés),0.988,1.15
Total de toutes les dépenses professionnelles,3920.153,3809.15
SO= Sans objet ; NR = Non renseigné.,,
7912Z - Activités des voyagistes,6721.801,6856.649
7911Z - Activités des agences de voyage,3019.073,3067.694
