Header,2018,2019
Nombre total d'entreprises,5216,5633
Chiffre d'affaires hors taxes (en millions d'euros),6695.066,6904.985
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,40304.1,44437
Valeur ajoutée hors taxes (en millions d'euros),3028.978,3199.655
Excédent Brut d'Exploitation (en millions d'euros),977.382,997.299
Frais de personnel (en millions d'euros),1916.115,2059.992
Investissements corporels bruts hors apports (en millions d'euros),786.269,1186.93
Entreprises,4006.828,3744.255
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,888.938,1186.971
Particuliers,1799.3,1973.76
Clientèle nationale,6003.695,6320.711
Clientèle étrangère,691.372,584.274
     dont Union européenne,412.528,220.026
     dont Hors Union européenne,278.844,364.249
Sous-traitance : études et prestations de services incorporées à la production,5.3,10.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",5,6.1
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7729Z - Location et location-bail d'autres biens personnels et domestiques,3417.169,3602.166
7721Z - Location et location-bail d'articles de loisirs et de sport,454.08,598.593
4774Z - Cce de détail d'articles médicaux et orthop. en magasin spécialisé,390.529,565.818
"6311Z - Traitement de données, hébergement et activités connexes",347.338,377.536
7010Z - Activités des sièges sociaux,372.99,N
