Header,2018,2019
Nombre total d'entreprises,26058,29841
Chiffre d'affaires hors taxes (en millions d'euros),4075.648,4950.938
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,15489.7,22255.1
Valeur ajoutée hors taxes (en millions d'euros),1524.328,2059.912
Excédent Brut d'Exploitation (en millions d'euros),310.74,366.129
Frais de personnel (en millions d'euros),1193.268,1660.805
Investissements corporels bruts hors apports (en millions d'euros),196.231,413.192
Entreprises,3097.968,3921.122
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,547.726,594.603
Particuliers,429.954,435.214
Clientèle nationale,3244.636,4246.335
Clientèle étrangère,831.011,704.603
     dont Union européenne,386.485,324.215
     dont Hors Union européenne,444.526,380.388
Sous-traitance : études et prestations de services incorporées à la production,9.2,10.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3,6.7
"Achats de terrains, bâtiments, travaux de construction pour la revente",17.589,25.284
"Achats de matériel et installations compris dans vos facturations ""clés en main""",0.023,0
SO,N,N
SO,N,N
SO,N,N
Total de toutes les dépenses professionnelles,17.612,25.284
SO= Sans objet ; NR = Non renseigné.,,
"7490B - Activités spécialisées, scientifiques et techniques diverses",2941.746,3529.417
7490A - Activité des économistes de la construction,855.237,882.452
