Header,2018,2019
Nombre total d'entreprises,4575,5341
Chiffre d'affaires hors taxes (en millions d'euros),1888.157,2194.418
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,9897.9,10462.4
Valeur ajoutée hors taxes (en millions d'euros),428.516,444.287
Excédent Brut d'Exploitation (en millions d'euros),67.268,113.998
Frais de personnel (en millions d'euros),468.919,474.144
Investissements corporels bruts hors apports (en millions d'euros),57.527,54.013
Entreprises,798.004,628.01
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,156.719,139.283
Particuliers,933.434,1427.125
Clientèle nationale,1491.114,1773.132
Clientèle étrangère,397.042,421.286
     dont Union européenne,140.325,181.109
     dont Hors Union européenne,256.718,240.178
Sous-traitance : études et prestations de services incorporées à la production,5.7,3
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.5,2.1
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",391.157,505.955
Commissions reversées à des confrères pour vente de voyages organisés,0.953,13.603
"Achats ou reversements de   transports, hébergements, restauration, spectacles destinés à être incorporés dans la fabrication de voyages vendus ""clé en main"";",4.205,0.641
Commissions reversées à des opérateurs en ligne,0,0.002
Achats de produits alimentaires (y compris boissons et plats cuisinés),0.004,0.002
Total de toutes les dépenses professionnelles,399.207,520.202
SO= Sans objet ; NR = Non renseigné.,,
7990Z - Autres services de réservation et activités connexes,1570.347,2010.629
