Header,2018,2019
Nombre total d'entreprises,14123,15377
Chiffre d'affaires hors taxes (en millions d'euros),685.839,646.123
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2559.2,2129.7
Valeur ajoutée hors taxes (en millions d'euros),362.148,346.262
Excédent Brut d'Exploitation (en millions d'euros),145.963,160.664
Frais de personnel (en millions d'euros),199.595,169.106
Investissements corporels bruts hors apports (en millions d'euros),56.909,65.095
Entreprises,591.431,536.503
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,66.634,61.175
Particuliers,27.773,48.444
Clientèle nationale,427.774,414.53
Clientèle étrangère,258.065,231.593
     dont Union européenne,172.882,112.249
     dont Hors Union européenne,85.184,119.343
Sous-traitance : études et prestations de services incorporées à la production,8.4,6.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.1,1.6
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7430Z - Traduction et interprétation,666.072,635.754
