Header,2018,2019
Nombre total d'entreprises,77999,81762
Chiffre d'affaires hors taxes (en millions d'euros),46865.714,50700.866
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,235922.3,252778.3
Valeur ajoutée hors taxes (en millions d'euros),22892.393,24102.516
Excédent Brut d'Exploitation (en millions d'euros),3905.663,4229.385
Frais de personnel (en millions d'euros),18251.741,19234.606
Investissements corporels bruts hors apports (en millions d'euros),2665.136,2951.42
Entreprises,34636.149,36873.871
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,8386.951,9660.292
Particuliers,3842.614,4166.702
Clientèle nationale,37745.12,40581.947
Clientèle étrangère,9120.594,10118.919
     dont Union européenne,2377.601,3616.196
     dont Hors Union européenne,6742.993,6502.723
Sous-traitance : études et prestations de services incorporées à la production,25.1,21.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",7.6,6.5
"Achats de matériel et installations compris dans vos facturations ""clés en main""",1541.676,1628.908
"Achats de terrains, bâtiments, travaux de construction pour la revente",331.595,238.255
"Achats de création, production, édition publicitaire (frais techniques effectués à l'extérieur et refacturés à l'annonceur);",0.483,1.83
Dépenses de spectacles en France,1.041,1.184
Versements des droits d'auteur et des droits voisins,0.173,0.281
Total de toutes les dépenses professionnelles,1899.017,1871.261
SO= Sans objet ; NR = Non renseigné.,,
"7112B - Ingénierie, études techniques",34290.882,37692.156
7111Z - Activités d'architecture,6178.756,6311.76
