Header,2018,2019
Nombre total d'entreprises,60289,63698
Chiffre d'affaires hors taxes (en millions d'euros),17181.907,17071.878
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,92923.6,90911.4
Valeur ajoutée hors taxes (en millions d'euros),9003.433,8650.776
Excédent Brut d'Exploitation (en millions d'euros),2210.385,2012.78
Frais de personnel (en millions d'euros),6417.495,6290.149
Investissements corporels bruts hors apports (en millions d'euros),1863.705,2496.65
Entreprises,4683.478,3997.862
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,102.956,94.793
Particuliers,12395.474,12979.223
Clientèle nationale,15811.086,15313.262
Clientèle étrangère,1370.821,1758.616
     dont Union européenne,683.158,1100.445
     dont Hors Union européenne,687.663,658.171
Sous-traitance : études et prestations de services incorporées à la production,5.1,4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.3,2.3
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6831Z - Agences immobilières,10288.742,11016.802
6832A - Administration d'immeubles et autres biens immobiliers,4576.947,3926.243
