Header,2018,2019
Nombre total d'entreprises,341,340
Chiffre d'affaires hors taxes (en millions d'euros),1731.315,1487.676
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,8736.6,7693.3
Valeur ajoutée hors taxes (en millions d'euros),793.239,698.636
Excédent Brut d'Exploitation (en millions d'euros),132.686,92.155
Frais de personnel (en millions d'euros),605.564,563.509
Investissements corporels bruts hors apports (en millions d'euros),65.402,66.626
Entreprises,1100.918,870.041
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,609.649,610.254
Particuliers,20.747,7.382
Clientèle nationale,1695.756,1452.816
Clientèle étrangère,35.559,34.86
     dont Union européenne,26.377,27.816
     dont Hors Union européenne,9.182,7.045
Sous-traitance : études et prestations de services incorporées à la production,25,14.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",4.3,1.2
Reversements ou redevances aux propriétaires des supports (activité de régie),189.343,186.71
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",38.678,53.207
Achats de programmes télévisuels de flux,9.28,24.045
"Achats de création, production, édition publicitaire (frais techniques effectués à l'extérieur et refacturés à l'annonceur);",2.574,22.908
Achats et préachats de droits sur programmes télévisuels de stock,21.277,22.793
Total de toutes les dépenses professionnelles,368.205,390.603
SO= Sans objet ; NR = Non renseigné.,,
6010Z - Édition et diffusion de programmes radio,1127.521,919.552
7312Z - Régie publicitaire de médias,342.733,327.447
6120Z - Télécommunications sans fil,N,85.952
