Header,2018,2019
Nombre total d'entreprises,2130,2036
Chiffre d'affaires hors taxes (en millions d'euros),661.62,709.393
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2606.3,2497.9
Valeur ajoutée hors taxes (en millions d'euros),353.456,415.329
Excédent Brut d'Exploitation (en millions d'euros),30.304,40.512
Frais de personnel (en millions d'euros),343.338,373.93
Investissements corporels bruts hors apports (en millions d'euros),26.624,11.742
Entreprises,460.062,474.557
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,169.809,197.296
Particuliers,31.749,37.54
Clientèle nationale,509.616,538.843
Clientèle étrangère,152.004,170.55
     dont Union européenne,71.547,78.379
     dont Hors Union européenne,80.457,92.171
Sous-traitance : études et prestations de services incorporées à la production,10,7.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.2,2.2
Honoraires versés aux pigistes extérieurs,5.353,5.249
Reversements ou redevances aux propriétaires des supports (activité de régie),0.459,0.423
"Achats de création, production, édition publicitaire (frais techniques effectués à l'extérieur et refacturés à l'annonceur);",0.002,0.002
Achats de matériels et de prestations de services techniques - Achats ou locations d'accessoires,0.001,0.002
SO,N,N
Total de toutes les dépenses professionnelles,5.815,5.675
SO= Sans objet ; NR = Non renseigné.,,
6391Z - Activités des agences de presse,521.433,574.174
6399Z - Autres services d'information n.c.a.,65.01,47.88
