Header,2018,2019
Nombre total d'entreprises,1805,1894
Chiffre d'affaires hors taxes (en millions d'euros),2278.606,2497.131
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,15382.4,16213.2
Valeur ajoutée hors taxes (en millions d'euros),1096.414,1180.345
Excédent Brut d'Exploitation (en millions d'euros),192.602,218.661
Frais de personnel (en millions d'euros),866.317,924.904
Investissements corporels bruts hors apports (en millions d'euros),103.227,121.095
Entreprises,1645.998,1701.788
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,245.599,328.713
Particuliers,387.009,466.631
Clientèle nationale,2117.013,2381.768
Clientèle étrangère,161.593,115.364
     dont Union européenne,87.085,74.783
     dont Hors Union européenne,74.507,40.58
Sous-traitance : études et prestations de services incorporées à la production,42.2,28.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",21.3,22.8
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8020Z - Activités liées aux systèmes de sécurité,1398.056,1457.632
4669C - Cce de gros (interentrep.) de fournit./équip. div. pour cce et serv.,342.531,373.765
4321A - Travaux d'installation électrique dans tous locaux,N,173.055
