Header,2018,2019
Nombre total d'entreprises,19436,19942
Chiffre d'affaires hors taxes (en millions d'euros),15324.768,17881.341
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,69702.3,73248.3
Valeur ajoutée hors taxes (en millions d'euros),5969.509,6408.429
Excédent Brut d'Exploitation (en millions d'euros),811.035,882.528
Frais de personnel (en millions d'euros),4897.825,5241.727
Investissements corporels bruts hors apports (en millions d'euros),693.602,1515.674
Entreprises,14483.126,16906.517
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,572.863,612.247
Particuliers,268.779,362.577
Clientèle nationale,12863.53,15112.417
Clientèle étrangère,2461.238,2768.924
     dont Union européenne,1228.288,1757.329
     dont Hors Union européenne,1232.95,1011.596
Sous-traitance : études et prestations de services incorporées à la production,32.4,25.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",16.3,13.1
"Achats de création, production, édition publicitaire (frais techniques effectués à l'extérieur et refacturés à l'annonceur);",838.991,889.31
Reversements ou redevances aux propriétaires des supports (activité de régie),468.044,592.153
Achats ou location d'espaces en vue de transactions (y compris placement de petites annonces),74.511,294.166
"Achats de matériel et installations compris dans vos facturations ""clés en main""",23.728,89.754
"Achats de prestations de services techniques (décors, scénographie, animation, etc.)",34.276,29.792
Total de toutes les dépenses professionnelles,1548.354,1972.177
SO= Sans objet ; NR = Non renseigné.,,
7311Z - Activités des agences de publicité,9462.056,10559.892
7312Z - Régie publicitaire de médias,3319.371,4182.851
