Header,2018,2019
Nombre total d'entreprises,1009,1067
Chiffre d'affaires hors taxes (en millions d'euros),831.35,820.747
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,4775.3,5067.8
Valeur ajoutée hors taxes (en millions d'euros),505.408,479.475
Excédent Brut d'Exploitation (en millions d'euros),54.223,67.868
Frais de personnel (en millions d'euros),437.648,399.303
Investissements corporels bruts hors apports (en millions d'euros),10.532,8.375
Entreprises,796.909,790.869
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,16.108,9.765
Particuliers,18.333,20.113
Clientèle nationale,715.437,716.881
Clientèle étrangère,115.913,103.866
     dont Union européenne,77.453,72.321
     dont Hors Union européenne,38.46,31.546
Sous-traitance : études et prestations de services incorporées à la production,21,24.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.7,1.8
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7810Z - Activités des agences de placement de main-d'œuvre,741.815,717.558
7820Z - Activités des agences de travail temporaire,52.644,50.015
