Header,2018,2019
Nombre total d'entreprises,46413,54898
Chiffre d'affaires hors taxes (en millions d'euros),16336.465,17746.036
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,310408.8,326797.9
Valeur ajoutée hors taxes (en millions d'euros),11943.737,12788.011
Excédent Brut d'Exploitation (en millions d'euros),967.918,1368.618
Frais de personnel (en millions d'euros),10577.463,11015.775
Investissements corporels bruts hors apports (en millions d'euros),441.68,505.312
Entreprises,11097.395,11347.894
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,2436.386,2896.209
Particuliers,2802.684,3501.933
Clientèle nationale,16189.094,17541.454
Clientèle étrangère,147.371,204.583
     dont Union européenne,89.474,179.91
     dont Hors Union européenne,57.898,24.673
Sous-traitance : études et prestations de services incorporées à la production,8,7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.7,3.6
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8121Z - Nettoyage courant des bâtiments,9487.488,10743.247
8122Z - Autres activités de nettoyage des bâtiments et nettoyage industriel,2465.845,2709.397
