Header,2018,2019
Nombre total d'entreprises,1314,1474
Chiffre d'affaires hors taxes (en millions d'euros),2531.639,2556.408
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,6428.3,5825.2
Valeur ajoutée hors taxes (en millions d'euros),723.789,721.104
Excédent Brut d'Exploitation (en millions d'euros),115.14,177.866
Frais de personnel (en millions d'euros),565.834,504.82
Investissements corporels bruts hors apports (en millions d'euros),67.903,51.568
Entreprises,2446.463,2398.037
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,12.625,0.363
Particuliers,72.551,158.008
Clientèle nationale,2252.09,2286.165
Clientèle étrangère,279.548,270.243
     dont Union européenne,117.486,112.927
     dont Hors Union européenne,162.062,157.316
Sous-traitance : études et prestations de services incorporées à la production,4.6,3.2
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3,3
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
"7740Z - Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright yc. location de licence de taxi",1414.5,1947.417
4643Z - Cce de gros (commerce interentreprises) d'appareils électroménagers,127.467,N
8299Z - Autres activités de soutien aux entreprises n.c.a.,275.103,N
