Header,2018,2019
Nombre total d'entreprises,4993,5552
Chiffre d'affaires hors taxes (en millions d'euros),742.661,975.701
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,2303.5,2493
Valeur ajoutée hors taxes (en millions d'euros),270.249,384.069
Excédent Brut d'Exploitation (en millions d'euros),90.931,211.045
Frais de personnel (en millions d'euros),184.292,180.058
Investissements corporels bruts hors apports (en millions d'euros),S,31.613
Entreprises,674.132,834.798
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,15.671,24.552
Particuliers,52.858,116.351
Clientèle nationale,611.946,613.38
Clientèle étrangère,130.715,362.322
     dont Union européenne,72.498,246.664
     dont Hors Union européenne,58.217,115.658
Sous-traitance : études et prestations de services incorporées à la production,10.7,19.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",4,7.3
Dépenses de spectacles en France,2.276,6.64
"Charges de locations de salles ou matériel (lieux de répétition, d'accueils de spectacles, son, éclairage)",2.903,4.84
"Achats de prestations de services techniques (décors, scénographie, animation, etc.)",1.735,3.013
Voyages,0.653,1.865
Versements des droits d'auteur et des droits voisins,0.776,1.25
Total de toutes les dépenses professionnelles,10.226,20.181
SO= Sans objet ; NR = Non renseigné.,,
5920Z - Enregistrement sonore et édition musicale,626.961,823.258
4643Z - Cce de gros (commerce interentreprises) d'appareils électroménagers,37.429,N
