Header,2018,2019
Nombre total d'entreprises,211,214
Chiffre d'affaires hors taxes (en millions d'euros),19417.693,21106.067
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,30704.5,30826.6
Valeur ajoutée hors taxes (en millions d'euros),8004.617,8402.157
Excédent Brut d'Exploitation (en millions d'euros),5346.999,5624.085
Frais de personnel (en millions d'euros),2141.89,2255.083
Investissements corporels bruts hors apports (en millions d'euros),S,S
Entreprises,7586.375,7704.355
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,159.981,51.412
Particuliers,11671.337,13350.3
Clientèle nationale,19278.163,20850.47
Clientèle étrangère,139.53,255.597
     dont Union européenne,91.28,178.35
     dont Hors Union européenne,48.25,77.247
Sous-traitance : études et prestations de services incorporées à la production,13.3,8.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",9.9,3.7
"Achats de consommables, dont consommables photographiques, et de petits matériels électriques",1829.365,1387.287
"Dépenses liées à la diffusion - Dépenses de transmission (faisceaux hertziens, canaux satellite, transmissions par câble)",6.909,15.618
Reversements aux opérateurs de télécommunications,17.458,10.085
"Achats de matériel et installations compris dans vos facturations ""clés en main""",9.662,8.886
Achats de matériels et de prestations de services techniques - Achats ou locations d'accessoires,8.935,6.776
Total de toutes les dépenses professionnelles,1874.022,1432.361
SO= Sans objet ; NR = Non renseigné.,,
6120Z - Télécommunications sans fil,10682.011,11288.779
6110Z - Télécommunications filaires,5643.435,6269.419
4742Z - Cce de détail de matériels de télécommunication en magasin spécialisé,1028.897,1388.486
