Header,2018,2019
Nombre total d'entreprises,34705,35359
Chiffre d'affaires hors taxes (en millions d'euros),5866.685,7356.643
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,34365.7,55910.5
Valeur ajoutée hors taxes (en millions d'euros),2509.51,3157.42
Excédent Brut d'Exploitation (en millions d'euros),760.813,837.331
Frais de personnel (en millions d'euros),1631.425,2180.513
Investissements corporels bruts hors apports (en millions d'euros),239.648,422.876
Entreprises,236.769,348.251
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,37.77,51.607
Particuliers,5592.146,6956.785
Clientèle nationale,5522.318,6902.993
Clientèle étrangère,344.367,453.651
     dont Union européenne,228.235,321.324
     dont Hors Union européenne,116.132,132.327
Sous-traitance : études et prestations de services incorporées à la production,3.6,3.8
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.4,2.7
Achats de produits alimentaires (y compris boissons et plats cuisinés),102.905,116.13
"Sous-traitance générale (contrats de maintenance, comptabilité, sécurité, etc)",0.7,0.866
Versements des droits d'auteur et des droits voisins,0.134,0.178
Apports en coproduction,0.111,0.114
"Publications de catalogues, programmes, flyers",0.088,0.108
Total de toutes les dépenses professionnelles,104.168,117.678
SO= Sans objet ; NR = Non renseigné.,,
5630Z - Débits de boissons,4139.483,4991.718
4726Z - Commerce de détail de produits à base de tabac en magasin spécialisé,679.507,932.494
5610A - Restauration traditionnelle,306.603,439.084
9200Z - Organisation de jeux de hasard et d'argent,365.269,412.031
