Header,2018,2019
Nombre total d'entreprises,7753,8909
Chiffre d'affaires hors taxes (en millions d'euros),4549.198,4947.062
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,15918.8,16740.8
Valeur ajoutée hors taxes (en millions d'euros),1409.147,1472.417
Excédent Brut d'Exploitation (en millions d'euros),305.084,366.781
Frais de personnel (en millions d'euros),1074.369,1071.139
Investissements corporels bruts hors apports (en millions d'euros),199.778,216.949
Entreprises,3707.016,4265.299
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,220.263,214.733
Particuliers,621.919,467.03
Clientèle nationale,3619.69,3897.237
Clientèle étrangère,929.508,1049.825
     dont Union européenne,620.85,589.387
     dont Hors Union européenne,308.659,460.439
Sous-traitance : études et prestations de services incorporées à la production,19.3,15
"Sous-traitance : matériel, équipements et travaux incorporés à la production",11.5,10.5
"Sous-traitances liées aux foires, salons et congrès (nettoyage, gardiennage, accueil, enregistrement des entrées, traduction, etc.)",151.696,156.274
Installation de stands d'exposition,91.424,107.825
Location de halls d'exposition,90.519,107.694
Dépenses de promotion,65.482,76.263
"Achats ou reversements de transports, hébergements, restauration, spectacles destinés à être revendus en l'état",28.771,15.04
Total de toutes les dépenses professionnelles,451.99,507.116
SO= Sans objet ; NR = Non renseigné.,,
"8230Z - Organisation de foires, salons professionnels et congrès",3629.696,3997.495
