Header,2018,2019
Nombre total d'entreprises,22757,27553
Chiffre d'affaires hors taxes (en millions d'euros),3276.281,3153.182
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,27007.7,26274.1
Valeur ajoutée hors taxes (en millions d'euros),1492.884,1541.189
Excédent Brut d'Exploitation (en millions d'euros),148.66,174.513
Frais de personnel (en millions d'euros),1300.554,1315.251
Investissements corporels bruts hors apports (en millions d'euros),171.488,247.147
Entreprises,2580.422,2788.175
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,139.548,160.086
Particuliers,556.311,204.922
Clientèle nationale,3127.67,2955.644
Clientèle étrangère,148.611,197.538
     dont Union européenne,86.261,107.356
     dont Hors Union européenne,62.351,90.182
Sous-traitance : études et prestations de services incorporées à la production,3.6,4.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.9,0.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8219Z - Photoc./préparation de doc. et autres activ. de soutien de bureau,1383.565,1226.696
8211Z - Services administratifs combinés de bureau,925.414,1000.648
8010Z - Activités de sécurité privée,174.783,226.209
4649Z - Cce de gros (commerce interentreprises) d'autres biens domestiques,201.527,170.156
