Header,2018,2019
Nombre total d'entreprises,19015,22357
Chiffre d'affaires hors taxes (en millions d'euros),1174.327,1342.617
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,4673.1,6228.3
Valeur ajoutée hors taxes (en millions d'euros),489.907,538.224
Excédent Brut d'Exploitation (en millions d'euros),149.691,120.879
Frais de personnel (en millions d'euros),320.663,395.477
Investissements corporels bruts hors apports (en millions d'euros),91.169,126.736
Entreprises,594.974,771.402
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,102.147,105.508
Particuliers,477.206,465.707
Clientèle nationale,952.059,1165.161
Clientèle étrangère,222.268,177.457
     dont Union européenne,131.889,125.724
     dont Hors Union européenne,90.379,51.732
Sous-traitance : études et prestations de services incorporées à la production,8.9,8.9
"Sous-traitance : matériel, équipements et travaux incorporés à la production",6.9,7.3
Sous-traitance de travaux de développement-tirage aux laboratoires photographiques,32.388,64.373
"Achats de consommables, dont consommables photographiques, et de petits matériels électriques",0.009,0
Dépenses de publicité,0.001,0
SO,N,N
SO,N,N
Total de toutes les dépenses professionnelles,32.399,64.373
SO= Sans objet ; NR = Non renseigné.,,
7420Z - Activités photographiques,1072.408,1203.43
4778C - Autres commerces de détail spécialisés divers,N,99.56
