Header,2018,2019
Nombre total d'entreprises,19982,22175
Chiffre d'affaires hors taxes (en millions d'euros),10502.86,10322.932
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,52691.6,53401.7
Valeur ajoutée hors taxes (en millions d'euros),5445.478,5384.941
Excédent Brut d'Exploitation (en millions d'euros),2078.457,1953.283
Frais de personnel (en millions d'euros),3454.461,3517.124
Investissements corporels bruts hors apports (en millions d'euros),S,583.403
Entreprises,8422.486,8270.283
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,223.669,204.636
Particuliers,1856.706,1848.012
Clientèle nationale,8784.564,8793.706
Clientèle étrangère,1718.296,1529.226
     dont Union européenne,728.761,746.373
     dont Hors Union européenne,989.536,782.853
Sous-traitance : études et prestations de services incorporées à la production,18.5,13
"Sous-traitance : matériel, équipements et travaux incorporés à la production",12.6,8.5
"Dépenses liées à l'exploitation cinématographique en salles, Reversements de recettes guichets aux distributeurs",413.48,409.178
Reversement par les distributeurs de la part producteurs,233.52,305.972
Dépenses de publicité,164.969,178.456
Achats de prestations sur programmes télévisuels,161.479,129.434
Achats et préachats de droits sur films cinématographiques,109.346,123.697
Total de toutes les dépenses professionnelles,1998.942,1962.912
SO= Sans objet ; NR = Non renseigné.,,
5911A - Production de films et de programmes pour la télévision,2503.01,2179.454
5914Z - Projection de films cinématographiques,1497.309,1719.589
5911B - Production de films institutionnels et publicitaires,1581.932,1537.704
5913A - Distribution de films cinématographiques,1335.837,1379.732
"5912Z - Post-prod. de films cinémat., vidéo et pgms deTV",1182.805,1219.82
