Header,2018,2019
Nombre total d'entreprises,24913,25798
Chiffre d'affaires hors taxes (en millions d'euros),2016.892,1884.047
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,11398.4,13168.4
Valeur ajoutée hors taxes (en millions d'euros),762.989,746.36
Excédent Brut d'Exploitation (en millions d'euros),180.842,160.057
Frais de personnel (en millions d'euros),548.538,556.276
Investissements corporels bruts hors apports (en millions d'euros),122.33,110.281
Entreprises,588.482,668.983
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,105.615,61.342
Particuliers,1322.794,1153.722
Clientèle nationale,1836.869,1703.809
Clientèle étrangère,180.023,180.237
     dont Union européenne,127.783,81.055
     dont Hors Union européenne,52.24,99.182
Sous-traitance : études et prestations de services incorporées à la production,10,4.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",7.2,2.7
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
9529Z - Réparation d'autres biens personnels et domestiques,556.25,455.055
9522Z - Réparation d'appareils électrom. et d'équip. maison et jardin,210.324,266.615
9521Z - Réparation de produits électroniques grand public,271.133,189.204
9523Z - Réparation de chaussures et d'articles en cuir,183.229,158.27
9524Z - Réparation de meubles et d'équipements du foyer,175.876,145.344
