Header,2018,2019
Nombre total d'entreprises,90843,90645
Chiffre d'affaires hors taxes (en millions d'euros),7574.386,7568.586
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,29253.4,30362
Valeur ajoutée hors taxes (en millions d'euros),3046.364,3077.599
Excédent Brut d'Exploitation (en millions d'euros),1223.191,1226.859
Frais de personnel (en millions d'euros),2063.87,2122.015
Investissements corporels bruts hors apports (en millions d'euros),723.775,534.371
Entreprises,N,N
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,N,N
Particuliers,N,N
Clientèle nationale,N,N
Clientèle étrangère,N,N
     dont Union européenne,N,N
     dont Hors Union européenne,N,N
Sous-traitance : études et prestations de services incorporées à la production,2.5,2.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.3,1.4
"Achats de prestations de services techniques (décors, scénographie, animation, etc.)",163.26,158.551
"Charges de locations de salles ou matériel (lieux de répétition, d'accueils de spectacles, son, éclairage)",108.034,121.369
"Sous-traitance générale (contrats de maintenance, comptabilité, sécurité, etc)",48.357,68.695
Dépenses de spectacles en France,63.847,46.923
Dépenses de spectacles à l'étranger,43.205,45.206
Total de toutes les dépenses professionnelles,657.214,667.693
SO= Sans objet ; NR = Non renseigné.,,
9001Z - Arts du spectacle vivant,2422.132,2318.854
9002Z - Activités de soutien au spectacle vivant,2154.588,2219.343
9003A - Création artistique relevant des arts plastiques,1001.064,1180.161
9003B - Autre création artistique,704.954,711.109
