Header,2018,2019
Nombre total d'entreprises,27520,33310
Chiffre d'affaires hors taxes (en millions d'euros),2442.159,3157.635
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,7194.3,9188.2
Valeur ajoutée hors taxes (en millions d'euros),1003.331,1221.684
Excédent Brut d'Exploitation (en millions d'euros),270.378,397.037
Frais de personnel (en millions d'euros),697.017,780.751
Investissements corporels bruts hors apports (en millions d'euros),133.006,184.743
Entreprises,1833.902,2597.207
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,55.785,122.259
Particuliers,552.472,438.169
Clientèle nationale,1713.274,2376.04
Clientèle étrangère,728.886,781.596
     dont Union européenne,317.229,364.161
     dont Hors Union européenne,411.656,417.435
Sous-traitance : études et prestations de services incorporées à la production,7.7,8.5
"Sous-traitance : matériel, équipements et travaux incorporés à la production",5.6,6.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7410Z - Activités spécialisées de design,2217.481,2877.803
