Header,2018,2019
Nombre total d'entreprises,2222,2278
Chiffre d'affaires hors taxes (en millions d'euros),2347.942,1791.746
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,12348.5,8951.5
Valeur ajoutée hors taxes (en millions d'euros),1345.932,956.813
Excédent Brut d'Exploitation (en millions d'euros),131.342,91.836
Frais de personnel (en millions d'euros),1173.281,841.625
Investissements corporels bruts hors apports (en millions d'euros),25.5,33.285
Entreprises,2195.827,1641.135
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,126.323,122.483
Particuliers,25.791,28.128
Clientèle nationale,1435.648,1283.188
Clientèle étrangère,912.294,508.558
     dont Union européenne,620.648,328.918
     dont Hors Union européenne,291.645,179.639
Sous-traitance : études et prestations de services incorporées à la production,31.5,20.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",3.4,7.4
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7320Z - Études de marché et sondages,2069.696,1540.045
"7490B - Activités spécialisées, scientifiques et techniques diverses",N,103.999
