Header,2018,2019
Nombre total d'entreprises,10025,11428
Chiffre d'affaires hors taxes (en millions d'euros),14111.812,14885.986
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,133817.2,133952.4
Valeur ajoutée hors taxes (en millions d'euros),6392.414,6361.355
Excédent Brut d'Exploitation (en millions d'euros),589.199,619.66
Frais de personnel (en millions d'euros),5555.167,5511.147
Investissements corporels bruts hors apports (en millions d'euros),411.751,430.779
Entreprises,6137.446,6314.993
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,3786.191,3045.856
Particuliers,4188.175,5525.137
Clientèle nationale,13289.048,14017.452
Clientèle étrangère,822.764,868.534
     dont Union européenne,245.029,227.72
     dont Hors Union européenne,577.735,640.814
Sous-traitance : études et prestations de services incorporées à la production,4.3,4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.1,4.2
Achats de produits alimentaires (y compris boissons et plats cuisinés),2071.112,2036.619
Location de halls d'exposition,1.666,2.248
Achats de matériels et de prestations de services techniques - Achats ou locations d'accessoires,0.003,0.004
SO,N,N
SO,N,N
Total de toutes les dépenses professionnelles,2072.781,2038.871
SO= Sans objet ; NR = Non renseigné.,,
5629A - Restauration collective sous contrat,6248.134,6400.044
5621Z - Services des traiteurs,2182.372,2574.411
5629B - Autres services de restauration n.c.a.,2353.751,2332.241
