Header,2018,2019
Nombre total d'entreprises,21208,21329
Chiffre d'affaires hors taxes (en millions d'euros),19870.843,20784.464
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,142944,149456.3
Valeur ajoutée hors taxes (en millions d'euros),12646.764,13436.178
Excédent Brut d'Exploitation (en millions d'euros),1976.598,2095.099
Frais de personnel (en millions d'euros),10261.861,10924.398
Investissements corporels bruts hors apports (en millions d'euros),320.889,314.326
Entreprises,17651.948,20069.753
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,413.478,179.943
Particuliers,1805.417,534.768
Clientèle nationale,18980.239,20101.983
Clientèle étrangère,890.603,682.481
     dont Union européenne,508.031,380.854
     dont Hors Union européenne,382.572,301.626
Sous-traitance : études et prestations de services incorporées à la production,23.2,23.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",1.5,3.9
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
6920Z - Activités comptables,17896.308,18913.263
7022Z - Conseil pour les affaires et autres conseils de gestion,1139.034,1154.165
