Header,2018,2019
Nombre total d'entreprises,1191,1282
Chiffre d'affaires hors taxes (en millions d'euros),2785.256,2563.809
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,30674.4,30428.4
Valeur ajoutée hors taxes (en millions d'euros),1336.114,1193.75
Excédent Brut d'Exploitation (en millions d'euros),40.862,111.366
Frais de personnel (en millions d'euros),1253.405,1059.377
Investissements corporels bruts hors apports (en millions d'euros),122.106,132.931
Entreprises,2658.724,2481.943
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,69.358,35.364
Particuliers,57.174,46.502
Clientèle nationale,2325.737,2161.834
Clientèle étrangère,459.519,401.974
     dont Union européenne,322.144,276.2
     dont Hors Union européenne,137.374,125.774
Sous-traitance : études et prestations de services incorporées à la production,14.6,5.6
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.7,0.9
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8220Z - Activités de centres d'appels,2288.272,1979.305
6420Z - Activités des sociétés holding,N,164.362
