Header,2018,2019
Nombre total d'entreprises,1578,1724
Chiffre d'affaires hors taxes (en millions d'euros),34510.181,36208.647
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,57256.6,65485
Valeur ajoutée hors taxes (en millions d'euros),31088.731,32293.801
Excédent Brut d'Exploitation (en millions d'euros),837.533,1212.129
Frais de personnel (en millions d'euros),29137.586,30069.133
Investissements corporels bruts hors apports (en millions d'euros),146.824,179.192
Entreprises,33898.915,35673.092
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,464.808,388.245
Particuliers,146.459,147.31
Clientèle nationale,33561.33,35500.092
Clientèle étrangère,948.851,708.555
     dont Union européenne,681.944,567.098
     dont Hors Union européenne,266.907,141.457
Sous-traitance : études et prestations de services incorporées à la production,8,22.7
"Sous-traitance : matériel, équipements et travaux incorporés à la production",2.7,2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
7820Z - Activités des agences de travail temporaire,31972.729,33354.527
