Header,2018,2019
Nombre total d'entreprises,11932,12395
Chiffre d'affaires hors taxes (en millions d'euros),9482.496,10255.791
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,63870,66595.9
Valeur ajoutée hors taxes (en millions d'euros),5213.963,5457.344
Excédent Brut d'Exploitation (en millions d'euros),667.007,811.278
Frais de personnel (en millions d'euros),4332.33,4428.428
Investissements corporels bruts hors apports (en millions d'euros),572.907,303.12
Entreprises,5863.839,7172.349
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,925.563,1288.784
Particuliers,2693.094,1794.658
Clientèle nationale,7512.875,8757.021
Clientèle étrangère,1969.621,1498.77
     dont Union européenne,830.8,677.926
     dont Hors Union européenne,1138.821,820.844
Sous-traitance : études et prestations de services incorporées à la production,23.4,18
"Sous-traitance : matériel, équipements et travaux incorporés à la production",13.5,2.8
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
"7120B - Analyses, essais et inspections techniques",6101.418,6350.71
7120A - Contrôle technique automobile,1370.624,1484.432
4673B - Cce de gros (interentreprises) d'appareils sanit. et prod. décoration,N,559.442
