Header,2018,2019
Nombre total d'entreprises,513,534
Chiffre d'affaires hors taxes (en millions d'euros),60.828,64.417
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,416,406
Valeur ajoutée hors taxes (en millions d'euros),34.03,36.409
Excédent Brut d'Exploitation (en millions d'euros),6.016,8.916
Frais de personnel (en millions d'euros),26.675,26.141
Investissements corporels bruts hors apports (en millions d'euros),1.99,2.105
Entreprises,52.529,50.339
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,0.101,1.135
Particuliers,8.198,12.943
Clientèle nationale,58.709,62.727
Clientèle étrangère,2.12,1.69
     dont Union européenne,1.037,1.217
     dont Hors Union européenne,1.082,0.472
Sous-traitance : études et prestations de services incorporées à la production,34,25.1
"Sous-traitance : matériel, équipements et travaux incorporés à la production",0.4,0.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
8030Z - Activités d'enquête,56.764,59.956
