Header,2018,2019
Nombre total d'entreprises,7472,7907
Chiffre d'affaires hors taxes (en millions d'euros),4216.689,4086.167
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,16501.8,15967.5
Valeur ajoutée hors taxes (en millions d'euros),1371.189,1361.587
Excédent Brut d'Exploitation (en millions d'euros),229.063,248.615
Frais de personnel (en millions d'euros),1081.796,1060.917
Investissements corporels bruts hors apports (en millions d'euros),73.462,74.388
Entreprises,3342.458,3020.747
     dont Voyagistes et Agences de voyages (hors opérateurs en ligne) ,N,N
     dont Opérateurs en ligne,N,N
     dont Autres entreprises,N,N
Administrations,516.143,691.311
Particuliers,358.088,374.109
Clientèle nationale,3952.944,3862.865
Clientèle étrangère,263.745,223.302
     dont Union européenne,208.864,127.712
     dont Hors Union européenne,54.881,95.59
Sous-traitance : études et prestations de services incorporées à la production,11.1,6.4
"Sous-traitance : matériel, équipements et travaux incorporés à la production",8.6,2.2
NR,N,N
NR,N,N
NR,N,N
NR,N,N
NR,N,N
Total de toutes les dépenses professionnelles,N,N
SO= Sans objet ; NR = Non renseigné.,,
9511Z - Réparation d'ordinateurs et d'équipements périphériques,1549.524,1740.015
4666Z - Cce de gros (interentreprises) d'autres machines et équip. de bureau,779.391,631.867
"4651Z - Cce de gros (interentrep.) d'ordi., équip. inform. périph.. et logic.",418.931,465.909
9512Z - Réparation d'équipements de communication,414.055,376.584
