Header,2018,2019
Nombre total d'entreprises,44276,44174
Chiffre d'affaires hors taxes (en millions d'euros),20452.802,22763.421
Marge commerciale (en millions d'euros),7073.873,7777.857
Nombre de magasins,37003,37732
Surface totale de vente (en m²),2901692,3030954
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,74391.2,86926.5
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,0.2,0.4
Taux de marge commerciale,36.6,35.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,27.4,29.6
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,18.8,21.6
Taux d'Investissement : Investissements / Valeur Ajoutée ,11.3,10.3
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,209.4,260.5
Vente en gros,4.9,4.8
"Vente au détail, hors carburant",90.1,91.1
Fabrication,0.8,0.3
Services,3.2,3.5
Carburant,1.1,0.2
Réparation,0,0
Grande distribution et commerce organisé,N,N
Commerces indépendants,N,N
Détaillants (réseau propre ou non),N,N
Grossistes,N,N
Vente à des utilisateurs professionnels,N,N
Vente aux particuliers,N,N
Etranger,N,N
Moins de 20 m²,10.3,8
De 20 m² à 60 m²,49.9,51.9
De 60 m² à 120 m²,28.8,28.2
De 120 m² à 400 m²,9.6,10.4
De 400 m² à 2500 m²,1.3,1.5
De 2500 m² à 5000 m²,0,0
5000 m² ou plus,0,0
"Centrales d'achats, grossistes, France",50.7,49.5
"Producteurs, filiales de commercialisation, France",39.5,40
"Grossistes, centrales d'achats, producteurs, étranger",3.9,4.6
"Autres, France",5.9,5.8
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",32.545,47.225
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",49.317,76.763
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,113.787,110.011
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",38.447,72.79
Total de ces dépenses,234.096,306.789
"4721ZO1 - Fruits et légumes frais, pommes de terre",17.2,20.1
4722ZA1 - Viandes,16.6,13.5
"4729ZO1 - Produits alimentaires divers (hors boissons, produits frais, épicerie sèche et conserves)",11.3,11.6
"4725ZA1 - Vins, spiritueux et liqueurs",8.6,9
Total de ces produits,53.6,54.1
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
