Header,2018,2019
Nombre total d'entreprises,5309,5429
Chiffre d'affaires hors taxes (en millions d'euros),4634.496,5210.005
Marge commerciale (en millions d'euros),850.854,1009.823
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,9844.8,10585.4
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,20.3,20.6
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,22.6,20.6
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,9.5,6.7
Taux d'Investissement : Investissements / Valeur Ajoutée ,13.3,10.2
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,122,5.8
Vente en gros,1.2,2.8
"Vente au détail, hors carburant",3.7,2.7
Fabrication,0.3,0.3
Services,1.7,0.6
Carburant,0.4,0.5
Réparation,92.6,93.2
Grande distribution et commerce organisé,0.8,1.4
Commerces indépendants,10.5,21.7
Détaillants (réseau propre ou non),7.3,1.7
Grossistes,2.9,1.9
Vente à des utilisateurs professionnels,3.1,2.6
Vente aux particuliers,72.3,65.6
Etranger,3.2,5.1
Moins de 20 m²,N,N
De 20 m² à 60 m²,N,N
De 60 m² à 120 m²,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
De 2500 m² à 5000 m²,N,N
5000 m² ou plus,N,N
"Centrales d'achats, grossistes, France",27.6,28.6
"Producteurs, filiales de commercialisation, France",33.6,25.2
"Grossistes, centrales d'achats, producteurs, étranger",34,40.5
"Autres, France",4.8,5.6
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",13.876,16.301
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",33.399,39.504
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,27.787,41.752
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",7.291,5.954
Total de ces dépenses,82.352,103.511
"4540ZB1 - Vente au détail de motocycles, pièces détachées et accessoires pour motocycles",47.6,37.5
"4540ZA1 - Motocycles de toutes cylindrées, pièces détachées et accessoires pour motocycles (dont scooter, moto, etc.)",26.7,37.2
9999B.. - branche fictive du service commercial lié à la branche mixte 4540ZO3,6.7,7.2
4540ZO3 - Réparation et entretien de motocycles,6.5,5.2
Total de ces produits,87.6,87.2
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
