Header,2018,2019
Nombre total d'entreprises,3013,2915
Chiffre d'affaires hors taxes (en millions d'euros),7078.703,6260.484
Marge commerciale (en millions d'euros),1694.239,1513.248
Nombre de magasins,2487,2237
Surface totale de vente (en m²),313298,445857
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,11425.6,10834.1
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,24.5,24.9
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,30.9,26.2
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,17.6,12.1
Taux d'Investissement : Investissements / Valeur Ajoutée ,6.2,-0.9
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,234.6,-1153.5
Vente en gros,0.4,0.6
"Vente au détail, hors carburant",9,11.4
Fabrication,0,0.1
Services,1.3,1.8
Carburant,86.8,84.6
Réparation,2.4,1.5
Grande distribution et commerce organisé,N,N
Commerces indépendants,N,N
Détaillants (réseau propre ou non),N,N
Grossistes,N,N
Vente à des utilisateurs professionnels,N,N
Vente aux particuliers,N,N
Etranger,N,N
Moins de 20 m²,12,13.3
De 20 m² à 60 m²,48.6,46.2
De 60 m² à 120 m²,24.1,24.3
De 120 m² à 400 m²,13.2,12.6
De 400 m² à 2500 m²,1.2,2.8
De 2500 m² à 5000 m²,0.8,0.3
5000 m² ou plus,0.1,0.5
"Centrales d'achats, grossistes, France",64.8,62.1
"Producteurs, filiales de commercialisation, France",13.1,15.1
"Grossistes, centrales d'achats, producteurs, étranger",13.1,6.6
"Autres, France",9,16.3
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",60.728,63.052
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",12.712,10.061
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,15.932,16.415
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",29.106,28.622
Total de ces dépenses,118.478,118.15
4730ZA9 - Carburants,63.1,62.3
4730ZO9 - Carburants et lubrifiants,12.6,10
Total de ces produits,75.6,72.3
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
