Header,2018,2019
Nombre total d'entreprises,28011,29865
Chiffre d'affaires hors taxes (en millions d'euros),134451.318,143128.198
Marge commerciale (en millions d'euros),14266.172,14829.895
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,163551.2,174120.1
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,11.6,11.3
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,24.4,23.3
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,8.1,7.6
Taux d'Investissement : Investissements / Valeur Ajoutée ,21.2,17.7
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,85.8,90.8
Vente en gros,1.6,1.4
"Vente au détail, hors carburant",1.1,1
Fabrication,2.2,2.2
Services,2.6,2.4
Carburant,0.5,0.5
Réparation,92.1,92.6
Grande distribution et commerce organisé,1.4,1.9
Commerces indépendants,14.2,13.8
Détaillants (réseau propre ou non),12.4,11.2
Grossistes,3.4,2.1
Vente à des utilisateurs professionnels,17.9,19
Vente aux particuliers,48.6,49.1
Etranger,2.2,2.9
Moins de 20 m²,N,N
De 20 m² à 60 m²,N,N
De 60 m² à 120 m²,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
De 2500 m² à 5000 m²,N,N
5000 m² ou plus,N,N
"Centrales d'achats, grossistes, France",28.1,27.9
"Producteurs, filiales de commercialisation, France",34.2,29.3
"Grossistes, centrales d'achats, producteurs, étranger",29,31.9
"Autres, France",8.7,10.9
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",675.463,585.582
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",1292.619,1341.994
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,342.316,383.974
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",43.87,41.215
Total de ces dépenses,2354.269,2352.764
4511ZD1 - Vente à des particuliers de voitures neuves,25.9,25.6
4511ZE1 - Vente à des particuliers de voitures d'occasion,15.9,17.7
4511ZB1 - Vente à des utilisateurs professionnels de voitures particulières neuves,15.5,16
4511ZA1 - Vente de véhicules utilitaires légers (neuf ou occasion),9.5,8.5
Total de ces produits,66.9,67.8
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
