Header,2018,2019
Nombre total d'entreprises,32791,33784
Chiffre d'affaires hors taxes (en millions d'euros),245716.338,248358.805
Marge commerciale (en millions d'euros),52552.915,53589.451
Nombre de magasins,40105,33827
Surface totale de vente (en m²),33720686,27725539
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,645222.1,666434.5
Part des entreprises ayant au moins une marque propre,13.7,13.1
Part du chiffre d'affaires provenant des ventes par Internet,2.7,2.9
Taux de marge commerciale,22.2,22.4
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,19.8,20.5
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,7.1,7.2
Taux d'Investissement : Investissements / Valeur Ajoutée ,15.5,16.3
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,121.7,155.2
Vente en gros,4.3,4.1
"Vente au détail, hors carburant",83.3,83.4
Fabrication,0.1,0.1
Services,2,2.2
Carburant,10.2,10
Réparation,0.1,0.1
Grande distribution et commerce organisé,9.1,3
Commerces indépendants,2.8,0.8
Détaillants (réseau propre ou non),13,12.9
Grossistes,0.4,0.3
Vente à des utilisateurs professionnels,1.5,1.6
Vente aux particuliers,72.4,80.7
Etranger,0.8,0.6
Moins de 20 m²,3.7,3.1
De 20 m² à 60 m²,16.6,10.6
De 60 m² à 120 m²,17.5,20.1
De 120 m² à 400 m²,22.2,28
De 400 m² à 2500 m²,31.9,30.5
De 2500 m² à 5000 m²,5,4.7
5000 m² ou plus,3.1,2.9
"Centrales d'achats, grossistes, France",71.3,71.8
"Producteurs, filiales de commercialisation, France",18.7,18.8
"Grossistes, centrales d'achats, producteurs, étranger",7,5.2
"Autres, France",3.1,4.2
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",1529.881,2339.346
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",2296.222,2316.678
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,1660.926,1572.286
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",512.329,357.473
Total de ces dépenses,5999.358,6585.782
4711F00 - Hypermarchés,18.9,19.3
4711D00 - Supermarchés,14.8,16.3
4730ZO9 - Carburants et lubrifiants,N,5.7
4730ZA9 - Carburants,8.8,N
Total de ces produits,42.5,41.3
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
