Header,2018,2019
Nombre total d'entreprises,50008,52355
Chiffre d'affaires hors taxes (en millions d'euros),20910.694,20617.546
Marge commerciale (en millions d'euros),3185.679,3034.399
Nombre de magasins,N,N
Surface totale de vente (en m²),N,N
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,98919.3,103420.9
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,N,N
Taux de marge commerciale,24.2,24.4
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,19.3,21.6
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,13.3,14.5
Taux d'Investissement : Investissements / Valeur Ajoutée ,11.2,12.2
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,146.1,152.8
Vente en gros,1.7,1.4
"Vente au détail, hors carburant",0.1,0
Fabrication,0.5,0.9
Services,1.8,2.4
Carburant,3.3,3.5
Réparation,92.7,91.8
Grande distribution et commerce organisé,3.6,3.6
Commerces indépendants,1.9,1.9
Détaillants (réseau propre ou non),0.2,0.6
Grossistes,0.5,0.3
Vente à des utilisateurs professionnels,25.7,25.4
Vente aux particuliers,67.5,67.7
Etranger,0.6,0.6
Moins de 20 m²,N,N
De 20 m² à 60 m²,N,N
De 60 m² à 120 m²,N,N
De 120 m² à 400 m²,N,N
De 400 m² à 2500 m²,N,N
De 2500 m² à 5000 m²,N,N
5000 m² ou plus,N,N
"Centrales d'achats, grossistes, France",57,66.4
"Producteurs, filiales de commercialisation, France",25.3,22.7
"Grossistes, centrales d'achats, producteurs, étranger",4.5,4.6
"Autres, France",13.3,6.4
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",54.329,62.768
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",76.848,53.022
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,17.072,14.39
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",76.965,70.107
Total de ces dépenses,225.214,200.287
9999Q.. - branche fictive du service commercial lié à la branche mixte 4520AA3,33.1,33.3
4532ZB1 - Vente à des particuliers de pièces et accessoires ou équipements simples posés lors de la réparation,22.6,20.1
4511ZE1 - Vente à des particuliers de voitures d'occasion,9.1,7.9
9999A.. - branche fictive du service commercial lié à la branche mixte 4520BB3,5,N
Total de ces produits,69.9,61.3
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
