Header,2018,2019
Nombre total d'entreprises,75359,76976
Chiffre d'affaires hors taxes (en millions d'euros),4693.263,4658.383
Marge commerciale (en millions d'euros),1832.021,1810.775
Nombre de magasins,7272,6238
Surface totale de vente (en m²),266449,217977
Effectifs équivalent temps plein (ETP) sur l'exercice comptable,13294.4,17831
Part des entreprises ayant au moins une marque propre,N,N
Part du chiffre d'affaires provenant des ventes par Internet,1,0.3
Taux de marge commerciale,39.4,39.1
Taux de marge d'exploitation : Excédent brut d'exploitation / valeur ajoutée,35.4,41
Taux de rentabilité économique : Excédent Brut d'Exploitation  / (immobilisations + Besoin en Fond de Roulement)  ,14.8,18
Taux d'Investissement : Investissements / Valeur Ajoutée ,30.8,30
Taux d'autofinancement : Capacité d'autofinancement/ Investissements corporels hors apports ,104.9,124
Vente en gros,1.4,0.6
"Vente au détail, hors carburant",97.8,98.7
Fabrication,0,0
Services,0.8,0.6
Carburant,0,0
Réparation,0,0
Grande distribution et commerce organisé,N,N
Commerces indépendants,N,N
Détaillants (réseau propre ou non),N,N
Grossistes,N,N
Vente à des utilisateurs professionnels,N,N
Vente aux particuliers,N,N
Etranger,N,N
Moins de 20 m²,51.5,55.6
De 20 m² à 60 m²,37.2,38.2
De 60 m² à 120 m²,8,2.6
De 120 m² à 400 m²,2.5,2.8
De 400 m² à 2500 m²,0.7,0.8
De 2500 m² à 5000 m²,0,0
5000 m² ou plus,0,0
"Centrales d'achats, grossistes, France",51.5,57.1
"Producteurs, filiales de commercialisation, France",31.7,30
"Grossistes, centrales d'achats, producteurs, étranger",9.2,7.3
"Autres, France",7.7,5.6
Ensemble  ,100,100
"Rémunérations d’intermédiaires, commissions à des intermédiaires non financiers, cotisations aux centrales d’achats",5.638,3.36
"Frais de publicité (annonces et insertions, imprimés et catalogues, foires et expositions, Internet…)",5.32,6.693
Appel à un (ou plusieurs) transporteur(s) pour assurer le transport des marchandises ou de la production,8.423,19.79
"Redevances pour concessions, licences, marques, franchises (hors droit d’entrée)",0.629,2.559
Total de ces dépenses,20.01,32.402
"4721ZO1 - Fruits et légumes frais, pommes de terre",23,27.4
4722ZO1 - Viandes et produits à base de viande (dont conserves),9.7,14.4
"4723ZO1 - Poissons, crustacés, mollusques (dont conserves)",13.2,10.9
"4729ZJ1 - Produits laitiers (dont oeufs, fromages, yaourts)",14.9,8.8
Total de ces produits,60.8,61.5
"Certains produits ne sont pas connus en détail : ainsi, les libellés des codes se terminant par '..' correspondent à ceux de la NAF sur 5 positions.",,
